differential_level,Amplitude,Mean,Std Dev
0,64,-8.64E-10,1.35E-09
0.003921569,55.99802814,1.91E-07,1.04E-08
0.007843138,57.97746374,1.93E-07,1.02E-08
0.011764707,54.95307203,1.96E-07,9.83E-09
0.015686275,54.03699339,1.97E-07,9.31E-09
0.019607844,58.1373152,1.93E-07,8.35E-09
0.023529414,54.6420728,1.87E-07,8.61E-09
0.027450982,55.78061052,1.80E-07,7.77E-09
0.031372551,57.32547655,1.72E-07,7.63E-09
0.035294119,53.98647591,1.64E-07,7.09E-09
0.039215688,55.2200909,1.56E-07,6.95E-09
0.043137256,54.15557337,1.49E-07,6.43E-09
0.047058828,57,1.43E-07,6.18E-09
0.050980397,58.14250472,1.38E-07,5.49E-09
0.054901965,58.3463762,1.35E-07,5.70E-09
0.058823533,55.31916224,1.33E-07,5.71E-09
0.062745102,57.16850741,1.32E-07,5.27E-09
0.06666667,60.44374048,1.33E-07,5.91E-09
0.070588239,52.96521746,1.36E-07,5.38E-09
0.074509807,60,1.40E-07,5.52E-09
0.078431375,53.81466009,1.45E-07,6.14E-09
0.082352944,56.3901754,1.53E-07,6.39E-09
0.086274512,56.88011323,1.61E-07,7.66E-09
0.090196081,55.07293837,1.72E-07,7.59E-09
0.094117656,58.34024611,1.85E-07,7.27E-09
0.098039225,56.84485583,1.99E-07,8.14E-09
0.10196079,56.24713902,2.16E-07,7.91E-09
0.10588236,59.31814453,2.35E-07,9.02E-09
0.10980393,57.22517342,2.56E-07,9.11E-09
0.1137255,55.45795618,2.79E-07,9.72E-09
0.11764707,56.22641016,3.05E-07,9.99E-09
0.12156864,55.76923393,3.33E-07,1.08E-08
0.1254902,54.98513474,3.63E-07,1.22E-08
0.12941177,57.79656707,3.96E-07,1.34E-08
0.13333334,54.27812796,4.32E-07,1.37E-08
0.13725491,56.71682473,4.70E-07,1.47E-08
0.14117648,56.45241055,5.10E-07,1.64E-08
0.14509805,56.33731171,5.55E-07,1.69E-08
0.14901961,54.89083827,6.01E-07,1.67E-08
0.15294118,56.01565695,6.49E-07,1.83E-08
0.15686275,59.84715474,7.04E-07,2.01E-08
0.16078432,51.35277681,7.57E-07,2.23E-08
0.16470589,55.72755058,8.13E-07,2.25E-08
0.16862746,55.42258366,8.71E-07,2.47E-08
0.17254902,55.16977126,9.36E-07,2.61E-08
0.17647059,54.90302357,9.99E-07,2.75E-08
0.18039216,58.32047413,1.07E-06,3.03E-08
0.18431373,51.55159154,1.14E-06,3.13E-08
0.18823531,54.42445877,1.22E-06,3.09E-08
0.19215688,53.75899255,1.29E-06,3.37E-08
0.19607845,56.39213287,1.37E-06,3.67E-08
0.20000002,58.25502367,1.46E-06,3.86E-08
0.20392159,53.9442417,1.55E-06,4.22E-08
0.20784315,54.81020388,1.64E-06,4.51E-08
0.21176472,58.40417736,1.74E-06,4.61E-08
0.21568629,57.40036306,1.85E-06,4.87E-08
0.21960786,56.27057867,1.95E-06,5.42E-08
0.22352943,55.23870458,2.06E-06,5.59E-08
0.227451,54.0494267,2.19E-06,5.28E-08
0.23137257,54.66408835,2.30E-06,5.64E-08
0.23529413,53.99225862,2.43E-06,5.93E-08
0.2392157,60.12038567,2.55E-06,6.47E-08
0.24313727,54.3084451,2.67E-06,6.37E-08
0.24705884,55.81739855,2.80E-06,7.01E-08
0.25098041,52.36990545,2.93E-06,6.27E-08
0.25490198,52.9716507,3.06E-06,7.66E-08
0.25882354,57.25756008,3.18E-06,7.96E-08
0.26274511,57.97334315,3.32E-06,8.05E-08
0.26666668,55.48629946,3.44E-06,8.25E-08
0.27058825,55.55626842,3.56E-06,8.39E-08
0.27450982,54.62967367,3.69E-06,8.83E-08
0.27843139,53.52111409,3.82E-06,9.23E-08
0.28235295,56.82351975,3.94E-06,8.61E-08
0.28627452,57.31005178,4.06E-06,8.97E-08
0.29019609,55.68226271,4.17E-06,9.16E-08
0.29411766,56.99386921,4.29E-06,8.79E-08
0.29803923,56.33329439,4.40E-06,8.37E-08
0.3019608,54.04458474,4.51E-06,9.10E-08
0.30588236,56.59127861,4.61E-06,9.40E-08
0.30980393,56.14144292,4.71E-06,8.42E-08
0.3137255,56.96156552,4.81E-06,8.46E-08
0.31764707,55.28281234,4.90E-06,8.37E-08
0.32156864,56.18166826,5.00E-06,8.03E-08
0.32549021,55.71498531,5.07E-06,8.03E-08
0.32941177,55.13492684,5.14E-06,7.82E-08
0.33333334,57.26736927,5.23E-06,8.16E-08
0.33725491,54.38208332,5.29E-06,7.84E-08
0.34117648,54.24944438,5.37E-06,7.75E-08
0.34509805,52.60603953,5.44E-06,7.80E-08
0.34901962,55.59345797,5.50E-06,7.65E-08
0.35294119,57.79302224,5.57E-06,7.97E-08
0.35686275,55.95191497,5.62E-06,7.84E-08
0.36078432,56.41433906,5.66E-06,7.85E-08
0.36470589,56.38519286,5.72E-06,6.75E-08
0.36862746,57.10110259,5.77E-06,7.23E-08
0.37254903,55.29626655,5.81E-06,7.22E-08
0.37647063,58.9738397,5.85E-06,7.11E-08
0.38039219,53.74400797,5.89E-06,6.87E-08
0.38431376,61.91090698,5.93E-06,6.56E-08
0.38823533,55.40978394,5.96E-06,6.08E-08
0.3921569,59.13333949,5.99E-06,6.17E-08
0.39607847,54.98623289,6.01E-06,5.87E-08
0.40000004,55.62355722,6.03E-06,6.09E-08
0.4039216,53.73298268,6.05E-06,5.32E-08
0.40784317,55.04984627,6.09E-06,6.15E-08
0.41176474,63.20704038,6.12E-06,7.01E-08
